Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,Ranking,1>rho>0,Internationality(1>rho>0),0.1>rho>0.001,Internationality(0.1>rho>0.001),0.99>rho>0.9,Internationality(0.99>rho>0.9),0.9>rho>0.101,Internationality(0.9>rho>0.101),rho>1,Internationality(rho>1)
University of St Andrews,36,18,819,136,0.41331307870000000,0.8339438339,198,0.0003490015026239580,0.5871070706671220,0.001038358621297590,0.5871319997544370,0.9000169056304900,0.6200021007373090,0.10147730662336800,0.5907747090933420,486662.1103908650,0.0
University of Helsinki,115,52,2778,356,0.5642211965,0.871850252,96,0.0012738247456463100,0.7013886650195290,0.0010718234801141400,0.7013853111797200,0.9000171110047990,0.7163738837782210,0.10150330471584200,0.7030546238410170,138196.8425878730,0.0
Szeged University,29,12,321,86,0.4822569444444450,0.7320872274,801-1000,0.0003181158899865370,0.5941877159192680,0.0010188363743315900,0.5941967843838340,0.9000183239506260,0.6058768437159940,0.10102594270269500,0.5954923626583120,183228.7716701720,0.0
University of California Santa Cruz,95,26,2274,990,0.5387255164,0.6365638767,179,0.00016251788113730300,0.5856053203438520,0.001087667133336190,0.5856072062873650,0.9000184539630410,0.5874408485301440,0.10106811252179500,0.5858110526776500,190967.87448514000,0.0
University of Bielefeld,81,28,1168,267,0.4525512614,0.7457191781,166,0.0005928492957975600,0.5809377177193970,0.0010461925721881600,0.5809459297483150,0.9000186418742120,0.5973214733561950,0.101486371031414,0.5827680081054540,202880.91068730600,0.0
University of Baghdad,8,2,341,15,0.4733333333333330,0.9560117302,801-1000,0.0011458349623343400,0.6727378987839490,0.0010198448371004100,0.6727326632054940,0.9000219092891100,0.7105056799130550,0.10108332752305800,0.6769028205024400,323018.62962950100,0.0
Ulm University,62,23,804,221,0.4455561717,0.7251243781000000,141,0.0010399766834197100,0.568421996685648,0.0011098619353779300,0.56842317445492,0.9000224841078820,0.5836530376118260,0.10100600997932800,0.5701090396969610,19478.340281256000,0.0
University of Gothenburg,81,17,827,83,0.6153211285,0.8996372430000000,186,0.0002893903479672670,0.74402391230697,0.0010299515913457400,0.7440338498481320,0.9000231290212250,0.7561364754841390,0.10117771656540900,0.7453788655877470,168286.26280825400,0.0
Tshwane University of Technology,10,1,228,13,0.1,0.9429824561,801-1000,0.0014338348266214100,0.3073574335428490,0.001005319014410980,0.3072745516048520,0.9000234516834810,0.5013806296584440,0.10109631699795700,0.32720938630307000,534748.0911139290,0.0
Trinity College Dublin,89,31,1122,128,0.49730607230000000,0.8859180036,164,0.00045636708041008100,0.663768907279352,0.001002850289218040,0.6637840251420960,0.9000237372413620,0.6888408513561330,0.10110353819353400,0.6665586189113820,378853.9932136070,0.0
